City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kristinestad,62.2743,21.376,272.09,80,100,4.79,FI,1698592567
1,metro,-5.1131,105.3067,297.37,79,10,1.82,ID,1698592568
2,alta,69.9689,23.2717,267.74,82,20,3.09,NO,1698592568
3,zhigalovo,54.8097,105.1578,265.45,56,32,0.98,RU,1698592569
4,ankazobe,-18.3167,47.1167,293.68,72,98,0.63,MG,1698592569
5,strezhevoy,60.7333,77.5889,263.13,85,13,1.34,RU,1698592570
6,nemuro,43.3236,145.575,283.37,74,55,4.4,JP,1698592570
7,zheleznogorsk,52.331,35.3711,276.69,75,100,5.14,RU,1698592571
8,urcos,-13.6861,-71.6228,292.09,51,100,2.05,PE,1698592571
9,adamstown,-25.066,-130.1015,295.45,84,100,7.33,PN,1698592572
10,waitangi,-43.9535,-176.5597,280.83,93,6,2.12,NZ,1698592572
11,mantenopolis,-18.8625,-41.1228,304.39,37,62,3.6,BR,1698592573
12,albany,42.6001,-73.9662,280.5,92,100,2.43,US,1698592513
13,longyearbyen,78.2186,15.6401,270.06,86,75,3.6,SJ,1698592574
14,afaahiti,-17.75,-149.2833,296.08,82,42,6.61,PF,1698592574
15,blackmans bay,-43.0167,147.3167,284.0,66,100,3.16,AU,1698592575
16,port-aux-francais,-49.35,70.2167,276.48,97,100,6.99,TF,1698592576
17,saint-philippe,-21.3585,55.7679,298.92,88,43,5.1,RE,1698592576
18,bozhou,33.8772,115.7703,292.82,48,0,2.71,CN,1698592331
19,margaret river,-33.95,115.0667,283.85,75,4,5.51,AU,1698592578
20,ushuaia,-54.8,-68.3,278.96,61,100,8.23,AR,1698592578
21,bilibino,68.0546,166.4372,250.26,96,27,2.03,RU,1698592579
22,badger,64.8,-147.5333,267.24,88,100,0.0,US,1698592580
23,olonkinbyen,70.9221,-8.7187,273.17,69,100,0.97,SJ,1698592580
24,nogliki,51.8333,143.1667,272.78,80,13,3.13,RU,1698592581
25,de pere,44.4489,-88.0604,276.66,70,100,4.12,US,1698592582
26,tshikapa,-6.4167,20.8,304.8,57,56,0.53,CD,1698592289
27,vadso,70.0744,29.7487,270.24,74,75,3.6,NO,1698592583
28,papatowai,-46.5619,169.4708,279.71,91,100,2.38,NZ,1698592583
29,tir pul,34.5943,61.269,297.46,26,5,1.87,AF,1698592584
30,olyokminsk,60.3736,120.4264,266.45,65,8,2.36,RU,1698592584
31,hermanus,-34.4187,19.2345,290.19,55,0,12.07,ZA,1698592585
32,atafu village,-8.5421,-172.5159,302.13,72,90,6.17,TK,1698592586
33,tra mhor,52.1624,-7.1524,286.89,70,40,3.09,IE,1698592586
34,lamu,-2.2717,40.902,300.14,78,100,4.29,KE,1698592587
35,west island,-12.1568,96.8225,299.14,83,40,8.23,CC,1698592588
36,kingston,17.997,-76.7936,304.4,65,23,0.45,JM,1698592310
37,puerto natales,-51.7236,-72.4875,279.4,45,40,8.23,CL,1698592589
38,lata,40.1629,-8.3327,290.41,91,100,0.75,PT,1698592590
39,alofi,-19.0595,-169.9187,297.09,88,100,5.14,NU,1698592591
40,berdigestyakh,62.0989,126.6992,253.8,100,98,1.0,RU,1698592591
41,kiuruvesi,63.65,26.6167,269.55,83,98,2.36,FI,1698592592
